A series of escapades demonstrating the adage that what is good for the goose is also good for the gander  some of which occasionally amuses but none of which amounts to much of a story  ;1
A series of escapades demonstrating the adage that what is good for the goose;2
A series;2
A;2
series;2
of escapades demonstrating the adage that what is good for the goose;2
of;2
escapades demonstrating the adage that what is good for the goose;2
escapades;2
demonstrating the adage that what is good for the goose;2
demonstrating the adage;2
demonstrating;2
the adage;2
the;2
adage;2
that what is good for the goose;2
that;2
what is good for the goose;2
what;2
is good for the goose;2
is;2
good for the goose;3
good;3
for the goose;2
for;2
the goose;2
goose;2
is also good for the gander  some of which occasionally amuses but none of which amounts to much of a story  ;2
is also good for the gander  some of which occasionally amuses but none of which amounts to much of a story;2
is also;2
also;2
good for the gander  some of which occasionally amuses but none of which amounts to much of a story;2
for the gander  some of which occasionally amuses but none of which amounts to much of a story;2
the gander  some of which occasionally amuses but none of which amounts to much of a story;1
the gander ;2
the gander;2
gander;2
;2
some of which occasionally amuses but none of which amounts to much of a story;2
some of which;2
some;2
of which;2
which;2
occasionally amuses but none of which amounts to much of a story;2
occasionally;2
amuses but none of which amounts to much of a story;2
amuses;3
but none of which amounts to much of a story;1
but;2
none of which amounts to much of a story;1
none;2
of which amounts to much of a story;2
which amounts to much of a story;2
amounts to much of a story;2
amounts;2
to much of a story;2
to;2
much of a story;2
much;2
of a story;2
a story;2
story;2
 ;2
This quiet  introspective and entertaining independent is worth seeking  ;4
This quiet  introspective and entertaining independent;3
This;2
quiet  introspective and entertaining independent;4
quiet  introspective and entertaining;3
quiet;2
 introspective and entertaining;3
introspective and entertaining;3
introspective and;3
introspective;2
and;2
entertaining;4
independent;2
is worth seeking  ;3
is worth seeking;4
is worth;2
worth;2
seeking;2
Even fans of Ismail Merchant s work  I suspect  would have a hard time sitting through this one  ;1
Even fans of Ismail Merchant s work;2
Even fans;2
Even;2
fans;3
of Ismail Merchant s work;2
Ismail Merchant s work;2
Ismail Merchant s;2
Ismail;2
Merchant s;2
Merchant;2
s;2
work;2
 I suspect  would have a hard time sitting through this one  ;1
 I suspect ;2
I suspect ;2
I suspect;2
I;2
suspect;2
would have a hard time sitting through this one  ;1
would have a hard time sitting through this one;0
would;2
have a hard time sitting through this one;0
have;2
a hard time sitting through this one;1
a hard time;1
hard time;1
hard;2
time;2
sitting through this one;1
sitting;2
through this one;2
through;2
this one;2
one;2
A positively thrilling combination of ethnography and all the intrigue  betrayal  deceit and murder of a Shakespearean tragedy or a juicy soap opera  ;3
A positively thrilling combination of ethnography and all the intrigue  betrayal  deceit and murder of a Shakespearean tragedy or a juicy soap opera;4
A positively thrilling combination of ethnography and all the intrigue  betrayal  deceit and murder;4
A positively thrilling combination;3
positively thrilling combination;3
positively;3
thrilling combination;3
thrilling;4
combination;2
of ethnography and all the intrigue  betrayal  deceit and murder;2
ethnography and all the intrigue  betrayal  deceit and murder;2
ethnography and;2
ethnography;2
all the intrigue  betrayal  deceit and murder;2
all;2
the intrigue  betrayal  deceit and murder;1
intrigue  betrayal  deceit and murder;2
intrigue;3
 betrayal  deceit and murder;2
betrayal  deceit and murder;1
betrayal;2
 deceit and murder;1
deceit and murder;1
deceit and;2
deceit;1
murder;1
of a Shakespearean tragedy or a juicy soap opera;2
a Shakespearean tragedy or a juicy soap opera;2
a Shakespearean tragedy or;2
a Shakespearean tragedy;1
Shakespearean tragedy;2
Shakespearean;2
tragedy;1
or;2
a juicy soap opera;3
juicy soap opera;3
juicy;3
soap opera;1
soap;2
opera;2
Aggressive self glorification and a manipulative whitewash  ;1
Aggressive self glorification and a manipulative whitewash;0
Aggressive;2
self glorification and a manipulative whitewash;0
self glorification and;1
self glorification;2
a manipulative whitewash;1
manipulative whitewash;1
manipulative;2
whitewash;2
A comedy drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis  ;4
A comedy drama of nearly epic proportions;3
A comedy drama;2
comedy drama;2
of nearly epic proportions;3
nearly epic proportions;2
nearly epic;4
nearly;2
epic;3
proportions;2
rooted in a sincere performance by the title character undergoing midlife crisis  ;4
rooted in a sincere performance by the title character undergoing midlife crisis;3
rooted in a sincere performance;3
rooted;3
in a sincere performance;4
in;2
a sincere performance;4
sincere performance;4
sincere;3
performance;2
by the title character undergoing midlife crisis;2
by;2
the title character undergoing midlife crisis;2
the title character;2
title character;2
title;2
character;2
undergoing midlife crisis;2
undergoing;2
midlife crisis;1
midlife;2
crisis;2
Narratively  Trouble Every Day is a plodding mess  ;1
Narratively;2
 Trouble Every Day is a plodding mess  ;1
Trouble Every Day is a plodding mess  ;0
Trouble Every Day;2
Trouble;1
Every Day;2
Every;2
Day;2
is a plodding mess  ;1
is a plodding mess;0
a plodding mess;1
plodding mess;0
plodding;1
mess;1
The Importance of Being Earnest  so thick with wit it plays like a reading from Bartlett s Familiar Quotations;3
The Importance;2
Importance;3
of Being Earnest  so thick with wit it plays like a reading from Bartlett s Familiar Quotations;2
Being Earnest  so thick with wit it plays like a reading from Bartlett s Familiar Quotations;3
Being;2
Earnest  so thick with wit it plays like a reading from Bartlett s Familiar Quotations;2
Earnest ;3
Earnest;3
so thick with wit it plays like a reading from Bartlett s Familiar Quotations;2
so;2
thick with wit it plays like a reading from Bartlett s Familiar Quotations;3
thick;2
with wit it plays like a reading from Bartlett s Familiar Quotations;3
with;2
wit it plays like a reading from Bartlett s Familiar Quotations;2
wit;2
it plays like a reading from Bartlett s Familiar Quotations;2
it;2
plays like a reading from Bartlett s Familiar Quotations;3
plays;2
like a reading from Bartlett s Familiar Quotations;2
like;2
a reading from Bartlett s Familiar Quotations;2
a reading;2
reading;2
from Bartlett s Familiar Quotations;2
from;2
Bartlett s Familiar Quotations;2
Bartlett s;2
Bartlett;2
Familiar Quotations;2
